0.9340,0.9406,0.9471,0.9435,0.9536,0.9598,0.9597,0.9596,0.9589,0.9578,0.9554,0.9522,0.9299,0.9076,0.9168,0.9168,0.9168,0.9106,0.9064,0.9057,0.8950,0.8744,0.8537,0.8604,0.8519,0.8513,0.8416,0.8576,0.8429,0.8474,0.8956,0.8748,0.8540,0.8575,0.8649
0.9330,0.9392,0.9454,0.9410,0.9518,0.9579,0.9574,0.9564,0.9576,0.9559,0.9543,0.9517,0.9290,0.9063,0.9163,0.9162,0.9162,0.9074,0.9087,0.9031,0.8952,0.8752,0.8552,0.8593,0.8544,0.8520,0.8418,0.8580,0.8410,0.8474,0.8953,0.8747,0.8541,0.8599,0.8648
0.9321,0.9379,0.9438,0.9381,0.9498,0.9553,0.9547,0.9527,0.9565,0.9533,0.9530,0.9514,0.9281,0.9049,0.9155,0.9156,0.9158,0.9035,0.9103,0.8997,0.8950,0.8757,0.8564,0.8581,0.8566,0.8519,0.8421,0.8573,0.8390,0.8476,0.8949,0.8742,0.8536,0.8627,0.8635
0.9308,0.9360,0.9411,0.9355,0.9471,0.9514,0.9516,0.9481,0.9546,0.9496,0.9509,0.9500,0.9268,0.9035,0.9156,0.9164,0.9171,0.9003,0.9090,0.8954,0.8951,0.8760,0.8569,0.8587,0.8558,0.8498,0.8425,0.8555,0.8404,0.8482,0.8944,0.8732,0.8519,0.8639,0.8622
0.9285,0.9334,0.9383,0.9315,0.9434,0.9485,0.9487,0.9450,0.9528,0.9481,0.9481,0.9481,0.9260,0.9038,0.9162,0.9161,0.9161,0.9019,0.9073,0.8917,0.8952,0.8771,0.8590,0.8574,0.8535,0.8466,0.8415,0.8531,0.8412,0.8483,0.8950,0.8727,0.8504,0.8631,0.8636
0.9249,0.9298,0.9346,0.9273,0.9391,0.9452,0.9451,0.9422,0.9504,0.9464,0.9447,0.9455,0.9250,0.9044,0.9162,0.9152,0.9142,0.9039,0.9040,0.8884,0.8944,0.8773,0.8602,0.8561,0.8509,0.8432,0.8401,0.8502,0.8415,0.8483,0.8952,0.8721,0.8490,0.8614,0.8651
0.9186,0.9239,0.9291,0.9237,0.9348,0.9418,0.9408,0.9401,0.9475,0.9440,0.9407,0.9418,0.9235,0.9053,0.9142,0.9127,0.9112,0.9037,0.8992,0.8875,0.8919,0.8749,0.8579,0.8559,0.8511,0.8415,0.8376,0.8466,0.8417,0.8489,0.8941,0.8712,0.8482,0.8592,0.8667
0.9115,0.9170,0.9226,0.9199,0.9296,0.9365,0.9362,0.9364,0.9446,0.9399,0.9365,0.9375,0.9212,0.9050,0.9105,0.9092,0.9079,0.9008,0.8940,0.8861,0.8880,0.8712,0.8544,0.8554,0.8504,0.8403,0.8349,0.8425,0.8407,0.8496,0.8921,0.8699,0.8478,0.8573,0.8665
0.9043,0.9097,0.9151,0.9169,0.9231,0.9266,0.9307,0.9279,0.9407,0.9315,0.9312,0.9320,0.9169,0.9019,0.9048,0.9060,0.9073,0.8917,0.8887,0.8825,0.8820,0.8663,0.8505,0.8553,0.8453,0.8413,0.8342,0.8398,0.8355,0.8504,0.8883,0.8688,0.8492,0.8574,0.8603
0.8977,0.9022,0.9067,0.9123,0.9159,0.9144,0.9235,0.9190,0.9345,0.9216,0.9240,0.9248,0.9110,0.8972,0.8983,0.9018,0.9053,0.8815,0.8831,0.8768,0.8745,0.8600,0.8455,0.8541,0.8386,0.8413,0.8331,0.8364,0.8296,0.8496,0.8836,0.8669,0.8501,0.8570,0.8528
0.8945,0.8957,0.8969,0.9016,0.9095,0.9012,0.9148,0.9132,0.9263,0.9102,0.9150,0.9156,0.9028,0.8900,0.8916,0.8950,0.8984,0.8746,0.8802,0.8660,0.8649,0.8520,0.8390,0.8479,0.8301,0.8381,0.8296,0.8301,0.8258,0.8455,0.8791,0.8641,0.8492,0.8551,0.8476
0.8898,0.8879,0.8860,0.8889,0.9012,0.8877,0.9050,0.9069,0.9165,0.8982,0.9046,0.9049,0.8932,0.8815,0.8838,0.8861,0.8884,0.8668,0.8757,0.8533,0.8538,0.8425,0.8312,0.8391,0.8209,0.8327,0.8234,0.8233,0.8225,0.8398,0.8733,0.8600,0.8467,0.8514,0.8421
0.8796,0.8772,0.8748,0.8764,0.8892,0.8754,0.8936,0.9007,0.9049,0.8888,0.8928,0.8931,0.8833,0.8734,0.8755,0.8745,0.8735,0.8575,0.8653,0.8384,0.8415,0.8321,0.8226,0.8280,0.8132,0.8228,0.8111,0.8175,0.8218,0.8319,0.8659,0.8536,0.8412,0.8437,0.8361
0.8640,0.8637,0.8634,0.8652,0.8724,0.8641,0.8800,0.8889,0.8896,0.8787,0.8779,0.8790,0.8723,0.8655,0.8647,0.8613,0.8580,0.8432,0.8490,0.8253,0.8286,0.8195,0.8105,0.8206,0.8069,0.8111,0.7980,0.8135,0.8164,0.8249,0.8562,0.8447,0.8331,0.8341,0.8273
0.8471,0.8492,0.8513,0.8536,0.8542,0.8524,0.8650,0.8733,0.8732,0.8673,0.8619,0.8640,0.8598,0.8556,0.8519,0.8475,0.8430,0.8271,0.8309,0.8124,0.8148,0.8061,0.7975,0.8118,0.7999,0.7986,0.7857,0.8081,0.8082,0.8167,0.8450,0.8340,0.8230,0.8231,0.8177
0.8321,0.8352,0.8383,0.8419,0.8372,0.8374,0.8491,0.8530,0.8578,0.8510,0.8464,0.8495,0.8447,0.8399,0.8382,0.8354,0.8326,0.8150,0.8146,0.8009,0.8000,0.7936,0.7871,0.7984,0.7904,0.7894,0.7813,0.7987,0.7943,0.8065,0.8327,0.8218,0.8109,0.8119,0.8093
0.8184,0.8215,0.8246,0.8291,0.8217,0.8201,0.8317,0.8312,0.8412,0.8337,0.8297,0.8342,0.8280,0.8219,0.8223,0.8221,0.8219,0.8039,0.7993,0.7896,0.7849,0.7812,0.7775,0.7835,0.7789,0.7798,0.7766,0.7869,0.7792,0.7943,0.8186,0.8080,0.7974,0.8007,0.8003
0.8096,0.8099,0.8103,0.8130,0.8122,0.8004,0.8134,0.8095,0.8240,0.8170,0.8122,0.8184,0.8103,0.8022,0.8015,0.8055,0.8094,0.7917,0.7881,0.7786,0.7701,0.7701,0.7701,0.7658,0.7631,0.7682,0.7651,0.7695,0.7681,0.7793,0.8031,0.7934,0.7837,0.7925,0.7912
0.8015,0.7983,0.7950,0.7956,0.8009,0.7807,0.7950,0.7883,0.8070,0.8006,0.7941,0.8027,0.7921,0.7814,0.7792,0.7876,0.7960,0.7772,0.7761,0.7664,0.7554,0.7582,0.7610,0.7483,0.7450,0.7552,0.7504,0.7505,0.7565,0.7619,0.7854,0.7770,0.7687,0.7821,0.7803
0.7926,0.7858,0.7791,0.7800,0.7788,0.7638,0.7760,0.7721,0.7913,0.7876,0.7752,0.7883,0.7746,0.7608,0.7569,0.7682,0.7794,0.7580,0.7589,0.7522,0.7428,0.7452,0.7477,0.7376,0.7248,0.7401,0.7317,0.7346,0.7432,0.7407,0.7634,0.7578,0.7521,0.7649,0.7644
0.7805,0.7715,0.7625,0.7634,0.7561,0.7468,0.7563,0.7550,0.7760,0.7750,0.7557,0.7745,0.7574,0.7403,0.7350,0.7481,0.7611,0.7379,0.7399,0.7360,0.7295,0.7307,0.7318,0.7276,0.7064,0.7234,0.7127,0.7179,0.7269,0.7194,0.7395,0.7368,0.7340,0.7445,0.7460
0.7610,0.7529,0.7447,0.7426,0.7368,0.7310,0.7366,0.7303,0.7593,0.7629,0.7361,0.7586,0.7397,0.7208,0.7144,0.7294,0.7445,0.7185,0.7193,0.7169,0.7159,0.7140,0.7121,0.7163,0.6959,0.7058,0.7009,0.7016,0.7029,0.7019,0.7143,0.7148,0.7153,0.7201,0.7279
0.7325,0.7302,0.7278,0.7211,0.7217,0.7081,0.7199,0.7040,0.7438,0.7481,0.7189,0.7422,0.7219,0.7016,0.6997,0.7107,0.7216,0.7028,0.6996,0.6941,0.6978,0.6923,0.6869,0.6954,0.6877,0.6844,0.6812,0.6789,0.6788,0.6842,0.6880,0.6901,0.6922,0.6925,0.7059
0.7038,0.7066,0.7094,0.7002,0.7055,0.6828,0.7021,0.6796,0.7269,0.7308,0.7006,0.7241,0.7036,0.6831,0.6858,0.6913,0.6967,0.6858,0.6782,0.6700,0.6770,0.6684,0.6598,0.6716,0.6777,0.6617,0.6582,0.6536,0.6542,0.6652,0.6608,0.6635,0.6661,0.6631,0.6791
0.6863,0.6871,0.6879,0.6836,0.6814,0.6570,0.6807,0.6668,0.7049,0.7089,0.6782,0.7018,0.6850,0.6683,0.6710,0.6721,0.6732,0.6589,0.6497,0.6478,0.6494,0.6418,0.6342,0.6498,0.6570,0.6396,0.6294,0.6252,0.6325,0.6402,0.6339,0.6360,0.6381,0.6339,0.6443
0.6720,0.6686,0.6652,0.6670,0.6534,0.6328,0.6583,0.6556,0.6805,0.6843,0.6540,0.6773,0.6656,0.6538,0.6558,0.6523,0.6488,0.6290,0.6207,0.6244,0.6198,0.6143,0.6088,0.6261,0.6300,0.6152,0.5994,0.5960,0.6101,0.6131,0.6064,0.6066,0.6069,0.6025,0.6065
0.6650,0.6525,0.6400,0.6522,0.6237,0.6167,0.6338,0.6437,0.6537,0.6573,0.6280,0.6505,0.6453,0.6400,0.6392,0.6307,0.6221,0.6018,0.5990,0.5997,0.5884,0.5875,0.5866,0.5993,0.5970,0.5872,0.5778,0.5717,0.5867,0.5881,0.5786,0.5739,0.5692,0.5693,0.5674
0.6520,0.6314,0.6108,0.6304,0.5909,0.5975,0.6058,0.6225,0.6247,0.6276,0.6004,0.6208,0.6217,0.6226,0.6183,0.6066,0.5949,0.5741,0.5775,0.5729,0.5575,0.5602,0.5630,0.5702,0.5618,0.5567,0.5527,0.5462,0.5600,0.5610,0.5489,0.5389,0.5289,0.5336,0.5271
0.6128,0.5936,0.5743,0.5843,0.5521,0.5662,0.5708,0.5705,0.5910,0.5943,0.5697,0.5856,0.5891,0.5926,0.5893,0.5788,0.5684,0.5434,0.5548,0.5396,0.5347,0.5344,0.5341,0.5363,0.5271,0.5213,0.5104,0.5128,0.5262,0.5272,0.5149,0.5008,0.4868,0.4892,0.4862
0.5663,0.5496,0.5328,0.5347,0.5115,0.5293,0.5310,0.5135,0.5539,0.5598,0.5368,0.5464,0.5532,0.5601,0.5541,0.5473,0.5405,0.5129,0.5285,0.5048,0.5122,0.5079,0.5036,0.5012,0.4922,0.4849,0.4651,0.4792,0.4889,0.4922,0.4797,0.4621,0.4446,0.4444,0.4461
0.5165,0.5050,0.4934,0.4909,0.4663,0.4811,0.4942,0.4641,0.5187,0.5264,0.5047,0.5083,0.5178,0.5274,0.5030,0.5066,0.5101,0.4873,0.4922,0.4688,0.4889,0.4784,0.4680,0.4690,0.4595,0.4455,0.4195,0.4471,0.4476,0.4579,0.4417,0.4212,0.4006,0.4049,0.4069
0.4717,0.4618,0.4520,0.4606,0.4343,0.4347,0.4567,0.4316,0.4817,0.4885,0.4704,0.4652,0.4806,0.4960,0.4650,0.4711,0.4772,0.4617,0.4459,0.4346,0.4589,0.4473,0.4357,0.4377,0.4236,0.4132,0.3838,0.4175,0.4035,0.4265,0.4052,0.3855,0.3659,0.3731,0.3737
0.4310,0.4211,0.4111,0.4336,0.4055,0.3930,0.4200,0.4034,0.4453,0.4507,0.4361,0.4233,0.4441,0.4650,0.4315,0.4376,0.4438,0.4330,0.4005,0.4034,0.4288,0.4167,0.4046,0.4069,0.3894,0.3842,0.3559,0.3890,0.3625,0.3958,0.3710,0.3539,0.3368,0.3442,0.3424
